dataset,query_id,draw_id,dense_residual_norm,dense_angle_degrees,sparse_support_equal,sparse_support_retention,sparse_missing_documents,sparse_top20_overlap,sparse_top20_turnover,sparse_top100_overlap,sparse_relevant_rr_delta,sparse_relevant_mean_rank_gain,sparse_ranked_relevant_documents,dense_only_delta_ndcg,dense_only_delta_recall,dense_only_dense_depth_reduction_pct,dense_only_sparse_depth_reduction_pct,sparse_only_delta_ndcg,sparse_only_delta_recall,sparse_only_dense_depth_reduction_pct,sparse_only_sparse_depth_reduction_pct,proposed_delta_ndcg,proposed_delta_recall,proposed_dense_depth_reduction_pct,proposed_sparse_depth_reduction_pct
nfcorpus,PLAIN-2650,0,0.2419561594724655,13.60166163089951,True,1.0,0,0.9,0.0999999999999999,1.0,0.0186783496836449,5.454545454545454,11,0.090855664206968,0.0,-9.090909090909085,-9.090909090909085,0.0876786657245797,0.0344827586206896,2.2727272727272707,2.2727272727272707,0.0998227112488659,0.0,-2.2727272727272707,-2.2727272727272707
nfcorpus,PLAIN-2650,1,0.2560932636260986,14.364351384111275,True,1.0,0,0.85,0.15,1.0,0.0224270501782463,8.363636363636363,11,0.0214244422701906,0.0,-11.363636363636353,-11.363636363636353,0.0783982689786753,0.0344827586206896,13.636363636363637,13.636363636363637,0.0876786657245797,0.0344827586206896,4.545454545454541,4.545454545454541
nfcorpus,PLAIN-2650,2,0.2418977916240692,13.598502310331906,True,1.0,0,0.95,0.05,1.0,0.0170089537470198,3.0,11,0.0753999837412126,0.0,-4.545454545454541,-4.545454545454541,0.0947883643695507,0.0,6.818181818181824,6.818181818181824,0.0998227112488659,0.0,-4.545454545454541,-4.545454545454541
nfcorpus,PLAIN-2660,0,0.2137212455272674,12.063831704579934,True,1.0,0,0.7,0.3,0.57,0.0074424671410946,98.84,25,-0.0509013018759774,0.0,-13.461538461538458,-13.548387096774196,0.0374246336399803,-0.037037037037037,37.17948717948718,36.7741935483871,0.0086080729154659,0.0,46.15384615384615,45.80645161290322
nfcorpus,PLAIN-2660,1,0.2126246392726898,12.00373189710434,True,1.0,0,0.7,0.3,0.6,0.0315360025051284,17.4,25,-0.0364392211392725,0.0,11.538461538461542,11.612903225806448,0.1160205208090686,0.037037037037037,23.076923076923073,22.580645161290324,-0.0338639366937239,0.037037037037037,28.205128205128204,27.74193548387097
nfcorpus,PLAIN-2660,2,0.2214687764644622,12.487663384184444,True,1.0,0,0.65,0.35,0.58,0.0105098325281307,107.96,25,-0.0509013018759774,0.0,-31.41025641025641,-31.612903225806456,0.044169482302926,-0.074074074074074,37.82051282051282,37.41935483870967,0.0009402907807133,-0.074074074074074,51.28205128205128,50.96774193548388
nfcorpus,PLAIN-2670,0,0.245368555188179,13.7862198923948,True,1.0,0,0.75,0.25,0.92,0.0120199810963351,7.428571428571429,7,0.0,0.0,-0.7142857142857117,-0.7142857142857117,0.0,0.0,-0.7142857142857117,-0.7142857142857117,0.0,0.0,-10.71428571428572,-10.71428571428572
nfcorpus,PLAIN-2670,1,0.2197717428207397,12.39494351856749,True,1.0,0,0.8,0.1999999999999999,0.85,0.0075228421461441,-1.5714285714285714,7,0.0,0.0,10.71428571428571,10.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0,20.71428571428572,20.71428571428572
nfcorpus,PLAIN-2670,2,0.2488322257995605,13.973253448459976,True,1.0,0,0.7,0.3,0.86,-0.0061725201149533,-8.142857142857142,7,0.0,0.0,18.571428571428573,18.571428571428573,-0.0078728159494821,0.0,5.714285714285716,5.714285714285716,-0.0209569955112594,0.0,34.285714285714285,34.285714285714285
nfcorpus,PLAIN-2680,0,0.2848022282123565,15.897071152370533,True,1.0,0,0.65,0.35,0.62,-0.0622094088385744,-115.58333333333331,12,-0.0340445659635759,0.0,-13.725490196078429,-13.725490196078429,-0.01806052486407,0.0714285714285714,16.666666666666664,16.666666666666664,-0.1998746148540481,0.0,-11.764705882352944,-11.764705882352944
