dataset,track,condition_id,method,reference_count,rrf_constant,top_l,ndcg_at_10,recall_at_20,complete_top20_exact_rate
scifact,controlled,primary,proposed,5,60,20,0.7416682907747425,0.9173333333333333,0.0
scifact,controlled,primary,proposed,5,60,50,0.7429004880728486,0.9167777777777778,0.1411111111111111
scifact,controlled,primary,proposed,5,60,100,0.7403574563593733,0.9166666666666666,0.5133333333333333
scifact,controlled,primary,proposed,5,60,200,0.742405703842934,0.9194444444444444,0.7755555555555556
scifact,controlled,primary,proposed,5,60,500,0.742740181615894,0.92,0.9211111111111111
scifact,controlled,primary,proposed,5,60,1000,0.742740181615894,0.9211111111111111,0.96
scifact,controlled,primary,sparse_boolean_mask,5,60,10,0.735131231271658,0.913074074074074,0.0
scifact,controlled,primary,sparse_boolean_mask,5,60,20,0.7342540195309838,0.9242222222222222,0.0011111111111111111
scifact,controlled,primary,sparse_boolean_mask,5,60,50,0.734038522025298,0.9126666666666666,0.15222222222222223
scifact,controlled,primary,sparse_boolean_mask,5,60,100,0.7321156261216633,0.9126666666666666,0.52
scifact,controlled,primary,sparse_boolean_mask,5,60,200,0.7330277119772612,0.9187777777777778,0.7844444444444445
scifact,controlled,primary,sparse_boolean_mask,5,60,500,0.7333488951176145,0.9193333333333333,0.9277777777777778
scifact,controlled,primary,sparse_boolean_mask,5,60,1000,0.7333488951176145,0.9182222222222222,0.9711111111111111
scifact,controlled,primary,sparse_only,5,60,10,0.7352939633346849,0.8997777777777777,0.0
scifact,controlled,primary,sparse_only,5,60,20,0.733836586853741,0.9208888888888889,0.0011111111111111111
scifact,controlled,primary,sparse_only,5,60,50,0.735601747367,0.9145555555555556,0.13
scifact,controlled,primary,sparse_only,5,60,100,0.7330303846692324,0.9111111111111111,0.48333333333333334
scifact,controlled,primary,sparse_only,5,60,200,0.7344936558662543,0.9181111111111111,0.7422222222222222
scifact,controlled,primary,sparse_only,5,60,500,0.7344936558662543,0.9203333333333333,0.9022222222222223
