dataset,track,condition_id,method,reference_count,rrf_constant,top_l,ndcg_at_10,recall_at_20,complete_top20_exact_rate
arguana,controlled,primary,sparse_boolean_mask,5,60,500,0.40047215263107105,0.9265054528212423,0.9881460407776197
arguana,controlled,primary,sparse_boolean_mask,5,60,1000,0.40047215263107105,0.9265054528212423,0.9952584163110479
arguana,controlled,primary,sparse_only,5,60,10,0.4009990542436745,0.8895211000474158,0.0
arguana,controlled,primary,sparse_only,5,60,20,0.39874374099718174,0.9295874822190612,0.002844950213371266
arguana,controlled,primary,sparse_only,5,60,50,0.3966335309823263,0.9238975817923186,0.3883357041251778
arguana,controlled,primary,sparse_only,5,60,100,0.3973000603596392,0.920104314841157,0.747036510194405
arguana,controlled,primary,sparse_only,5,60,200,0.397694481009941,0.9212897107633949,0.9359886201991465
arguana,controlled,primary,sparse_only,5,60,500,0.39783721690167356,0.9234234234234234,0.9881460407776197
arguana,controlled,primary,sparse_only,5,60,1000,0.39783721690167356,0.9241346609767662,0.9952584163110479
arguana,controlled,primary,sparse_references_only,5,60,10,0.3929730765920107,0.8864390706495969,0.0
arguana,controlled,primary,sparse_references_only,5,60,20,0.3889997388656181,0.9215267899478425,0.0030820293978188716
arguana,controlled,primary,sparse_references_only,5,60,50,0.38397669807420287,0.9122807017543859,0.3440018966334756
arguana,controlled,primary,sparse_references_only,5,60,100,0.38429797080794126,0.904457088667615,0.7268847795163584
arguana,controlled,primary,sparse_references_only,5,60,200,0.3841546493989551,0.9073020388809863,0.9125177809388336
arguana,controlled,primary,sparse_references_only,5,60,500,0.3843659165439636,0.9096728307254623,0.9793741109530584
arguana,controlled,primary,sparse_references_only,5,60,1000,0.3843659165439636,0.9108582266477003,0.9907539118065434
fiqa,controlled,primary,bridge_shared,5,60,10,0.3771696708020982,0.5219423808929982,0.0
fiqa,controlled,primary,bridge_shared,5,60,20,0.37164597672856037,0.5353741637306453,0.0
fiqa,controlled,primary,bridge_shared,5,60,50,0.36319461823901245,0.5418125855625856,0.03909465020576132
fiqa,controlled,primary,bridge_shared,5,60,100,0.3618379352885285,0.5295556709522758,0.25977366255144035
fiqa,controlled,primary,bridge_shared,5,60,200,0.3627610799303833,0.5334957552164342,0.559156378600823
fiqa,controlled,primary,bridge_shared,5,60,500,0.3632096420701012,0.5374193364934106,0.793724279835391
fiqa,controlled,primary,bridge_shared,5,60,1000,0.3632702099141853,0.5384201775019677,0.8780864197530864
fiqa,controlled,primary,dense_only,5,60,10,0.3722823937041608,0.5215640997662603,0.0
fiqa,controlled,primary,dense_only,5,60,20,0.371587937767042,0.5390266497905387,0.0
fiqa,controlled,primary,dense_only,5,60,50,0.3638885675078022,0.5406575234893136,0.026234567901234566
fiqa,controlled,primary,dense_only,5,60,100,0.36334986710097894,0.5297263850118789,0.19444444444444445
fiqa,controlled,primary,dense_only,5,60,200,0.36349965647786625,0.526927927468051,0.42746913580246915
fiqa,controlled,primary,dense_only,5,60,500,0.36411736146469703,0.5293235770859228,0.6748971193415638
fiqa,controlled,primary,dense_only,5,60,1000,0.36415134975129443,0.5311352156645366,0.7736625514403292
fiqa,controlled,primary,mugi_controlled,5,60,10,0.3763570421132377,0.5201667002978732,0.0
fiqa,controlled,primary,mugi_controlled,5,60,20,0.3694844562640898,0.5344082786212416,0.0
fiqa,controlled,primary,mugi_controlled,5,60,50,0.3607805412990523,0.542873707225559,0.038580246913580245
fiqa,controlled,primary,mugi_controlled,5,60,100,0.3577897027726705,0.5285803773843898,0.25411522633744854
fiqa,controlled,primary,mugi_controlled,5,60,200,0.35772328282546284,0.5318440118980243,0.5462962962962963
fiqa,controlled,primary,mugi_controlled,5,60,500,0.3574922627077632,0.5345129578925876,0.7777777777777778
fiqa,controlled,primary,mugi_controlled,5,60,1000,0.35775734122408703,0.5364997385444916,0.8636831275720165
fiqa,controlled,primary,original,5,60,10,0.36630918555586434,0.5097847539977169,0.0
fiqa,controlled,primary,original,5,60,20,0.36792443513355855,0.5293767446545224,0.0
fiqa,controlled,primary,original,5,60,50,0.36174144903415856,0.5297081005414339,0.024691358024691357
fiqa,controlled,primary,original,5,60,100,0.36270172920087207,0.5227520207844282,0.18055555555555555
fiqa,controlled,primary,original,5,60,200,0.3648191822803162,0.5167334080528525,0.44290123456790126
fiqa,controlled,primary,original,5,60,500,0.36466595174871874,0.5230752657835991,0.6774691358024691
fiqa,controlled,primary,original,5,60,1000,0.36435471410041304,0.5254562181645515,0.7777777777777778
fiqa,controlled,primary,proposed,5,60,10,0.38321160642505614,0.5288980209890703,0.0
fiqa,controlled,primary,proposed,5,60,20,0.38226353544248465,0.5440802538796365,0.0
fiqa,controlled,primary,proposed,5,60,50,0.3780010867459366,0.5521300458800459,0.04063786008230453
fiqa,controlled,primary,proposed,5,60,100,0.37794971295013924,0.5398721106282834,0.2690329218106996
fiqa,controlled,primary,proposed,5,60,200,0.37765225780196876,0.5399215096745962,0.566358024691358
fiqa,controlled,primary,proposed,5,60,500,0.3778479201050493,0.5432847273896657,0.7860082304526749
fiqa,controlled,primary,proposed,5,60,1000,0.37775674763242373,0.5447764969369908,0.8739711934156379
fiqa,controlled,primary,sparse_boolean_mask,5,60,10,0.3780477435440752,0.5238726180084204,0.0
fiqa,controlled,primary,sparse_boolean_mask,5,60,20,0.3722612869408587,0.5372958274578645,0.0
fiqa,controlled,primary,sparse_boolean_mask,5,60,50,0.36381972642739274,0.5439914509358954,0.040123456790123455
