dataset,query_id,dense_angle_degrees,dense_residual_norm,sparse_top20_turnover,sparse_top100_overlap
arguana,test-economy-epsihbdns-pro03a,4.130363935636235,0.07221371183792746,0.016666666666666666,0.9500000000000001
arguana,test-economy-epsihbdns-pro04a,4.69063843458119,0.08205095430215197,0.03333333333333333,0.8766666666666666
arguana,test-economy-eptpghdtre-con01a,4.8955228214554625,0.08565263698498404,0.09999999999999991,0.9
arguana,test-economy-eptpghdtre-con02a,5.535084257432257,0.09690959503253294,0.23333333333333325,0.8466666666666667
arguana,test-economy-eptpghdtre-con03a,4.58932236222203,0.08027322838703789,0.03333333333333333,0.8666666666666667
arguana,test-economy-eptpghdtre-pro01a,4.584822480519233,0.08019198477268213,0.06666666666666664,0.9066666666666667
arguana,test-economy-eptpghdtre-pro02a,3.50956463235673,0.061330749342838865,0.04999999999999997,0.8833333333333333
arguana,test-economy-eptpghdtre-pro03a,4.312900608944364,0.07541747887929277,0.08333333333333326,0.8633333333333333
arguana,test-economy-eptpghdtre-pro04a,4.4113933748393945,0.07714621971050893,0.14999999999999994,0.8333333333333334
arguana,test-economy-fiahwpamu-con01a,3.849967859348949,0.06729662915070846,0.016666666666666666,0.93
arguana,test-economy-fiahwpamu-con02a,4.346728382192527,0.07601091017325716,0.05000000000000001,0.9
arguana,test-economy-fiahwpamu-con03a,3.7690177595866294,0.06587688873211538,0.05000000000000001,0.93
arguana,test-economy-fiahwpamu-pro01a,3.9374142995041663,0.0688292334477106,0.09999999999999991,0.91
arguana,test-economy-fiahwpamu-pro02a,2.9062967605977987,0.05076858401298517,0.08333333333333326,0.9433333333333334
arguana,test-economy-fiahwpamu-pro03a,3.6983195398493898,0.06463914116223647,0.03333333333333333,0.93
arguana,test-economy-fiahwpamu-pro04a,4.289511250972787,0.0750124851862589,0.05000000000000001,0.9166666666666666
arguana,test-economy-fiahwpamu-pro05a,3.1587751016113805,0.0551871148248513,0.03333333333333333,0.9499999999999998
arguana,test-economy-thhghwhwift-con01a,4.486171939235358,0.07845891018708544,0.15,0.8933333333333334
arguana,test-economy-thhghwhwift-con02a,1.2556132704831785e-06,2.19145857016656e-08,0.016666666666666666,0.9266666666666667
arguana,test-economy-thhghwhwift-con03a,4.604258838422236,0.08053297797838843,0.016666666666666666,0.9233333333333333
arguana,test-economy-thhghwhwift-pro01a,4.543708644241835,0.07946947465340289,0.05000000000000001,0.9266666666666667
